Name,Google Maps Link,Rating,Budget,Closed Days,Work?,Wifi?,"Dietary restrictions
(Vegan Options/Menu)",Card Payment?,Size?,Opening times,Distance (walking),Distance (biking),Distance (public transit),Nearest subway station
Blumental,https://maps.app.goo.gl/CbzmEX2Lmp8Tsu429,4.4,10-20,None,Y,Y,Y,Y,L,,5,2,,
Café Le Vent,https://maps.app.goo.gl/2LqfBXUjK9Tc67i67,4.7,1-10,None,N,N,N,N,S,,2,1,,
Cocina Café,https://maps.app.goo.gl/d9wiswQPpDzErfw98,4.4,1-10,Sunday,Y,Y,Y,Y,M,,3,1,,
Café am Engelbecken,https://maps.app.goo.gl/xSCebhx5BQAxcQwh7,4.1,10-20,None,Y,Y,Y,Y,L,,13,2,7,
Exclusive Coffee Brückenstraße,https://maps.app.goo.gl/UsauAs8r6NeqDfkW8,4.6,1-10,None,Y,Y,Y,Y,L,,14,4,11,
Bonanza Coffee Roasters,https://maps.app.goo.gl/QTSo4YR6rK34xDir6,4.3,1-10,None,Y,N,Y,Y,L,,12,4,,
Café Três,https://maps.app.goo.gl/RczRxt6rVXcPcN6r6,4.6,1-10,None,Y,Y,Y,Y,S,,12,4,12,
Káffee Büro,https://maps.app.goo.gl/vdCD8tDgDLa86rve8,4.6,1-10,None,N,N,Y,N,S,,15,5,10,
Mano Cafe,https://maps.app.goo.gl/YX4m445YFiN2DR9Y7,4.6,1-10,None,Y,N,Y,N,M,,22,7,15,
Café M,https://maps.app.goo.gl/VD7rTpsHMsB1a7ZVA,4.7,1-10,None,Y,Y,Y,Y,S,,40,12,24,Warschauer Straße
Café Bravo,https://maps.app.goo.gl/WWotTXQDTyFQqgC18,4,10-20,None,Y,Y,Y,Y,L,,50,14,24,U Gesundbrunnen Bhf
YUNA,https://maps.app.goo.gl/ir23515W53xzZgRn7,4.8,10-20,None,Y,Y,Y,Y,M,,41,13,22,U Gesundbrunnen Bhf
Espresso House,https://maps.app.goo.gl/cB5bz4kTBavee2347,3.8,1-10,None,Y,Y,Y,Y,M,,50,18,28,Potsdamer Platz
Cafe Berio,https://maps.app.goo.gl/ZDFtyUBvDND7uLhK8,4.2,10-20,None,Y,Y,Y,N,L,,79,24,35,Nollendorfplatz
Galetterie Café,https://maps.app.goo.gl/oeFfVdmhZ2KY64Uk7,4.2,10-20,None,N,N,Y,N,M,,11,4,8,
Café zur Alten Zicke,https://maps.app.goo.gl/5kY95NPPBNxXGVdd8,4.5,1-10,None,N,N,Y,N,S,,28,9,20,Berlin Alexanderplatz Bahnhof
Cafe am Petriplatz,https://maps.app.goo.gl/mJc3wMAr12KEFE4x7,4.5,10-20,None,N,N,N,N,M,,24,7,15,U Spittelmarkt
Cuccuma,https://maps.app.goo.gl/nwyGbi4ivPKnfMm97,4.4,1-10,None,Y,Y,Y,N,,,44,,,
A.HORN,https://maps.app.goo.gl/Tz2SXnEqHgbQ8o2W8,4.2,10-20,None,Y,Y,Y,Y,,,38,,,
Café bRICK,https://maps.app.goo.gl/Xuz4ntJ37LR3fYyV6,4.7,10-20,None,N,Y,Y,N,,,46,,,
The Greens,https://maps.app.goo.gl/rZuZqLwQxeZ5UWZHA,4.5,10-20,None,Y,Y,Y,Y,,,5,,,
Cafe Neundrei,https://maps.app.goo.gl/ijy34uyJzZcXVH9B8,4.6,10-20,Sunday,N,N,Y,Y,,,9,,,
